_id,type,name,location,place_id
5fafe8745143de9ede25a2a4,preschools,Suursuon päiväkoti,"{'coordinates': [24.930263845591906, 60.230448297598606], 'type': 'Point'}",
5fafe8745143de9ede25a2a5,preschools,Maarinniityn päiväkoti,"{'coordinates': [24.803457789561616, 60.18450006969171], 'type': 'Point'}",
5fafe8745143de9ede25a2a6,preschools,Päiväkoti Vikkeri,"{'coordinates': [24.997624895364627, 60.22984738299559], 'type': 'Point'}",
5fafe8745143de9ede25a2a7,preschools,Päiväkoti Kamomilla,"{'coordinates': [25.02426127871563, 60.22534907040476], 'type': 'Point'}",
5fafe8745143de9ede25a2a8,preschools,Westendin päiväkoti Merimurut,"{'coordinates': [24.791103797604247, 60.163449734691106], 'type': 'Point'}",
5fafe8745143de9ede25a2a9,preschools,Laakakiven päiväkoti,"{'coordinates': [24.79736242727436, 60.196978667109136], 'type': 'Point'}",
5fafe8745143de9ede25a2aa,preschools,Päiväkoti Pupuna,"{'coordinates': [24.805279748084164, 60.206098302667534], 'type': 'Point'}",
5fafe8745143de9ede25a2ab,preschools,Päiväkoti Auringonkukka,"{'coordinates': [25.032302106915832, 60.22723556480113], 'type': 'Point'}",
5fafe8745143de9ede25a2ac,preschools,Avoin päiväkoti Kaislikko,"{'coordinates': [24.783197767231446, 60.160290574843174], 'type': 'Point'}",
5fafe8745143de9ede25a2ad,preschools,Päiväkoti Havukka,"{'coordinates': [24.936073132858155, 60.245076201419174], 'type': 'Point'}",
5fafe8745143de9ede25a2ae,preschools,Postipuun päiväkoti,"{'coordinates': [24.824366284535742, 60.22281774475547], 'type': 'Point'}",
5fafe8745143de9ede25a2af,preschools,Päiväkoti Pihlajamäki,"{'coordinates': [25.011723661232008, 60.23631461249163], 'type': 'Point'}",
5fafe8745143de9ede25a2b0,preschools,Päiväkoti Marmori,"{'coordinates': [25.015415764136574, 60.23890870816868], 'type': 'Point'}",
5fafe8745143de9ede25a2b1,preschools,Päiväkoti Nuotti,"{'coordinates': [24.988556879702152, 60.24584412130824], 'type': 'Point'}",
5fafe8745143de9ede25a2b2,preschools,Päiväkoti Satakieli,"{'coordinates': [25.043083193906643, 60.230466671030236], 'type': 'Point'}",
5fafe8745143de9ede25a2b3,preschools,Päiväkoti Toivo,"{'coordinates': [25.03947067515507, 60.23333153449581], 'type': 'Point'}",
5fafe8745143de9ede25a2b4,preschools,Päiväkoti Leipuri,"{'coordinates': [25.064744016529342, 60.22248354269607], 'type': 'Point'}",
5fafe8745143de9ede25a2b5,preschools,Seilimäen Päiväkoti,"{'coordinates': [24.768897130460196, 60.18869783884725], 'type': 'Point'}",
5fafe8745143de9ede25a2b6,preschools,Niittykummun päiväkoti,"{'coordinates': [24.76328814811196, 60.16900049385778], 'type': 'Point'}",
5fafe87f5143de9ede25a2b7,night_club,Navy Jerry's Rum Bar,"{'coordinates': [24.926351387591087, 60.16965831173421], 'type': 'Point'}",
5fafe87f5143de9ede25a2b8,night_club,Kaiku,"{'coordinates': [24.959921204901214, 60.18356288155769], 'type': 'Point'}",
5fafe87f5143de9ede25a2b9,night_club,Post Bar,"{'coordinates': [24.958974623001406, 60.183199285945925], 'type': 'Point'}",
5fafe87f5143de9ede25a2ba,night_club,Merikerho,"{'coordinates': [24.963637665799173, 60.182371713683125], 'type': 'Point'}",
5fafe87f5143de9ede25a2bb,night_club,Ravintola Teatteri,"{'coordinates': [24.944340521082157, 60.16744143980249], 'type': 'Point'}",
5fafe87f5143de9ede25a2bc,night_club,Y31,"{'coordinates': [24.936721878035044, 60.16891266172297], 'type': 'Point'}",
5fafe87f5143de9ede25a2bd,night_club,Kaivohuone,"{'coordinates': [24.956021703089696, 60.1574453454861], 'type': 'Point'}",
5fafe87f5143de9ede25a2be,night_club,Anniskeluravintola Eerikinkatu 11,"{'coordinates': [24.934023544192314, 60.166865524749916], 'type': 'Point'}",
5fafe87f5143de9ede25a2bf,night_club,Summer Heat,"{'coordinates': [24.94079621924976, 60.16861317837933], 'type': 'Point'}",
5fafe87f5143de9ede25a2c0,night_club,Ääniwalli,"{'coordinates': [24.949734419397203, 60.19505023692134], 'type': 'Point'}",
5fafe87f5143de9ede25a2c1,night_club,Kaarle XII,"{'coordinates': [24.947741848896563, 60.16573438034503], 'type': 'Point'}",
5fafe87f5143de9ede25a2c2,night_club,K2 Disco,"{'coordinates': [24.94313728237424, 60.16357386624627], 'type': 'Point'}",
5fafe87f5143de9ede25a2c3,night_club,Botta,"{'coordinates': [24.931871592904763, 60.17419598318178], 'type': 'Point'}",
5fafe87f5143de9ede25a2c4,night_club,Kuudes Linja,"{'coordinates': [24.959795, 60.18368], 'type': 'Point'}",
5fafe87f5143de9ede25a2c5,night_club,Tavastian Lauantaidisko,"{'coordinates': [24.933239190718243, 60.16868081886882], 'type': 'Point'}",
5fafe87f5143de9ede25a2c6,night_club,Yläkerta,"{'coordinates': [24.93320882320404, 60.1683125779323], 'type': 'Point'}",
5fafe87f5143de9ede25a2c7,night_club,Presidentti Club,"{'coordinates': [24.932147829154953, 60.17051946471745], 'type': 'Point'}",
5fafe87f5143de9ede25a2c8,night_club,Skohan,"{'coordinates': [24.94240844046296, 60.16998389472612], 'type': 'Point'}",
5fafe87f5143de9ede25a2c9,night_club,Green Room,"{'coordinates': [24.92880223728449, 60.169767505105476], 'type': 'Point'}",
5fafe87f5143de9ede25a2ca,night_club,Club Bassment,"{'coordinates': [24.928507832237607, 60.169588728452666], 'type': 'Point'}",
5fafe87f5143de9ede25a2cb,night_club,Dusk & Dawn,"{'coordinates': [24.92815275036447, 60.16963468920517], 'type': 'Point'}",
5fafe87f5143de9ede25a2cc,night_club,Teatterin klubi,"{'coordinates': [24.94403129529538, 60.16716952015554], 'type': 'Point'}",
5fafe87f5143de9ede25a2cd,night_club,Terassi,"{'coordinates': [24.944618973290357, 60.16745232792451], 'type': 'Point'}",
5fafe87f5143de9ede25a2ce,night_club,Soho,"{'coordinates': [24.94378736647209, 60.163100580061226], 'type': 'Point'}",
5fafe87f5143de9ede25a2cf,night_club,NRJ @ Sea Cruise,"{'coordinates': [24.953296899897655, 60.16729527080631], 'type': 'Point'}",
5fafe87f5143de9ede25a2d0,night_club,Clique,"{'coordinates': [24.9366, 60.168835], 'type': 'Point'}",
5fafe87f5143de9ede25a2d1,night_club,Mummotunneli,"{'coordinates': [24.945156030697387, 60.16840439178965], 'type': 'Point'}",
5fafe87f5143de9ede25a2d2,night_club,Alakulttuuritalo,"{'coordinates': [24.944907077718717, 60.1882312508184], 'type': 'Point'}",
5fafe87f5143de9ede25a2d3,night_club,Ravintola Musta Härkä,"{'coordinates': [24.9509599, 60.19661], 'type': 'Point'}",
5fafe87f5143de9ede25a2d4,night_club,Nyyrikin Iltatähti,"{'coordinates': [24.944005759446966, 60.214192590345995], 'type': 'Point'}",
5fafe87f5143de9ede25a2d5,night_club,Partybar Hulabaloo,"{'coordinates': [24.93358960569242, 60.17050967402103], 'type': 'Point'}",
5fafe87f5143de9ede25a2d6,night_club,Milliklubi,"{'coordinates': [24.93937723338604, 60.169945356481335], 'type': 'Point'}",
5fafe87f5143de9ede25a2d7,night_club,Baarikärpänen,"{'coordinates': [24.928359, 60.170149], 'type': 'Point'}",
5fafe87f5143de9ede25a2d8,night_club,Butchers Helsinki,"{'coordinates': [24.940058, 60.164144], 'type': 'Point'}",
5fafe87f5143de9ede25a2d9,night_club,Bar Loose,"{'coordinates': [24.93730884737786, 60.166703458301015], 'type': 'Point'}",
5fafe87f5143de9ede25a2da,night_club,Stadin Tähti,"{'coordinates': [24.96254697283247, 60.19050805660644], 'type': 'Point'}",
5fafe87f5143de9ede25a2db,night_club,Apollo Live Club,"{'coordinates': [24.93903773357215, 60.16890493661522], 'type': 'Point'}",
5fafe87f5143de9ede25a2dc,night_club,Väinö Kallio,"{'coordinates': [24.95886056943059, 60.18326819123005], 'type': 'Point'}",
5fafe87f5143de9ede25a2dd,night_club,Vanha Ylioppilastalo,"{'coordinates': [24.940482577480214, 60.16889067296712], 'type': 'Point'}",
5fafe87f5143de9ede25a2de,night_club,E93 Lounge And Nightclub,"{'coordinates': [25.082837193795775, 60.20881459410527], 'type': 'Point'}",
5fafe87f5143de9ede25a2df,night_club,Maxine,"{'coordinates': [24.934046364726925, 60.16946631871981], 'type': 'Point'}",
5fafe87f5143de9ede25a2e0,night_club,Tillikka,"{'coordinates': [25.009099939429415, 60.24862310037601], 'type': 'Point'}",
5fafe87f5143de9ede25a2e1,night_club,The Circus,"{'coordinates': [24.934076680655338, 60.17077623286978], 'type': 'Point'}",
5fafe87f5143de9ede25a2e2,night_club,Hercules Gay Nightclub,"{'coordinates': [24.928407669067383, 60.17007977773949], 'type': 'Point'}",
5fafe87f5143de9ede25a2e3,night_club,Sankaritar,"{'coordinates': [24.81176, 60.22099], 'type': 'Point'}",
5fafe87f5143de9ede25a2e4,night_club,Pressa,"{'coordinates': [24.932239824241194, 60.17058795859926], 'type': 'Point'}",
5fafe87f5143de9ede25a2e5,night_club,Virgin Oil Co.,"{'coordinates': [24.940407872200012, 60.16936196851891], 'type': 'Point'}",
5fafe87f5143de9ede25a2e6,night_club,DarkSide Club,"{'coordinates': [24.923127545598316, 60.17052355792091], 'type': 'Point'}",
5fafe87f5143de9ede25a2e7,night_club,Teatteri Forum,"{'coordinates': [24.93661699792441, 60.16893100728754], 'type': 'Point'}",
5fafe87f5143de9ede25a2e8,night_club,Manala,"{'coordinates': [24.9315, 60.17397], 'type': 'Point'}",
5fafe87f5143de9ede25a2e9,night_club,"Old Irish Pub, The","{'coordinates': [24.940454, 60.168016], 'type': 'Point'}",
